population.ID,species,Life.Stage,Sex.Ratio,N,sex.determination,SDM.Type,SuperTaxa,model4,Conservative,Citation,Source,sex.det.source
390,Podocnemis_expansa,adult.sex.ratio,0.589,265,TSD,TSD Ia,crocoturtle,turtles,Y,g66,Bokony,species.in.TreeOfSex
2085b,Podocnemis_lewyana,adult.sex.ratio,0.557,201,TSD,TSD Ia,crocoturtle,turtles,Y,2085,Bokony,species.in.TreeOfSex
"2087a,c",Podocnemis_sextuberculata,adult.sex.ratio,0.816,1778,TSD,TSD Ia,crocoturtle,turtles,Y,2087,Bokony,species.in.TreeOfSex
"2087d,f",Podocnemis_sextuberculata,adult.sex.ratio,0.827,1112,TSD,TSD Ia,crocoturtle,turtles,Y,2087,Bokony,species.in.TreeOfSex
391,Podocnemis_unifilis,adult.sex.ratio,0.711,1024,TSD,TSD Ia,crocoturtle,turtles,Y,g68,Bokony,species.in.TreeOfSex
2090,Podocnemis_unifilis,adult.sex.ratio,0.655,562,TSD,TSD Ia,crocoturtle,turtles,Y,2090,Bokony,species.in.TreeOfSex
2096b,Podocnemis_unifilis,adult.sex.ratio,0.765,51,TSD,TSD Ia,crocoturtle,turtles,Y,2096,Bokony,species.in.TreeOfSex
397,Pseudemys_concinna,adult.sex.ratio,0.546,291,TSD,TSD Ia,crocoturtle,turtles,Y,559,Bokony,species.in.TreeOfSex
398,Pseudemys_concinna,adult.sex.ratio,0.655,45,TSD,TSD Ia,crocoturtle,turtles,Y,672,Bokony,species.in.TreeOfSex
399,Pseudemys_concinna,adult.sex.ratio,0.632,68,TSD,TSD Ia,crocoturtle,turtles,Y,"674, m52",Bokony,species.in.TreeOfSex
403,Pseudemys_nelsoni,adult.sex.ratio,0.552,57,TSD,TSD Ia,crocoturtle,turtles,Y,728,Bokony,species.in.TreeOfSex
405,Pseudemys_peninsularis,adult.sex.ratio,0.666,209,TSD,TSD Ia,crocoturtle,turtles,Y,728,Bokony,species.in.TreeOfSex
458,Terrapene_ornata,adult.sex.ratio,0.459,109,TSD,TSD Ia,crocoturtle,turtles,Y,g58,Bokony,species.in.TreeOfSex
459,Terrapene_ornata,adult.sex.ratio,0.411,73,TSD,TSD Ia,crocoturtle,turtles,Y,737,Bokony,species.in.TreeOfSex
2022,Terrapene_ornata,adult.sex.ratio,0.493,136,TSD,TSD Ia,crocoturtle,turtles,Y,2022,Bokony,species.in.TreeOfSex
2025,Terrapene_ornata,adult.sex.ratio,0.377,414,TSD,TSD Ia,crocoturtle,turtles,Y,2025,Bokony,species.in.TreeOfSex
2020d,Terrapene_ornata,adult.sex.ratio,0.343,210,TSD,TSD Ia,crocoturtle,turtles,Y,2020,Bokony,species.in.TreeOfSex
2023b,Terrapene_ornata,adult.sex.ratio,0.39,154,TSD,TSD Ia,crocoturtle,turtles,Y,2023,Bokony,species.in.TreeOfSex
462,Testudo_graeca,adult.sex.ratio,0.515,68,TSD,TSD Ia,crocoturtle,turtles,Y,157,Bokony,species.in.TreeOfSex
463,Testudo_graeca,adult.sex.ratio,0.611,163,TSD,TSD Ia,crocoturtle,turtles,Y,"727, 720",Bokony,species.in.TreeOfSex
464,Testudo_graeca,adult.sex.ratio,0.577,26,TSD,TSD Ia,crocoturtle,turtles,Y,692,Bokony,species.in.TreeOfSex
465,Testudo_graeca,adult.sex.ratio,0.387,31,TSD,TSD Ia,crocoturtle,turtles,Y,692,Bokony,species.in.TreeOfSex
466,Testudo_graeca,adult.sex.ratio,0.534,73,TSD,TSD Ia,crocoturtle,turtles,Y,692,Bokony,species.in.TreeOfSex
467,Testudo_graeca,adult.sex.ratio,0.538,91,TSD,TSD Ia,crocoturtle,turtles,Y,692,Bokony,species.in.TreeOfSex
475,Testudo_hermanni,adult.sex.ratio,0.375,48,TSD,TSD Ia,crocoturtle,turtles,Y,703,Bokony,species.in.TreeOfSex
476,Testudo_hermanni,adult.sex.ratio,0.667,82,TSD,TSD Ia,crocoturtle,turtles,Y,708,Bokony,species.in.TreeOfSex
477,Testudo_hermanni,adult.sex.ratio,0.584,178,TSD,TSD Ia,crocoturtle,turtles,Y,712,Bokony,species.in.TreeOfSex
2068b,Trachemys_adiutrix,adult.sex.ratio,0.429,35,TSD,TSD Ia,crocoturtle,turtles,Y,2068,Bokony,genus.or.family.in.TreeOfSex
492,Trachemys_scripta,adult.sex.ratio,0.473,635,TSD,TSD Ia,crocoturtle,turtles,Y,139,Bokony,species.in.TreeOfSex
499,Trachemys_scripta,adult.sex.ratio,0.728,2168,TSD,TSD Ia,crocoturtle,turtles,Y,559,Bokony,species.in.TreeOfSex
500,Trachemys_scripta,adult.sex.ratio,0.463,54,TSD,TSD Ia,crocoturtle,turtles,Y,g46,Bokony,species.in.TreeOfSex
501,Trachemys_scripta,adult.sex.ratio,0.713,122,TSD,TSD Ia,crocoturtle,turtles,Y,g46,Bokony,species.in.TreeOfSex
502,Trachemys_scripta,adult.sex.ratio,0.453,117,TSD,TSD Ia,crocoturtle,turtles,Y,g46,Bokony,species.in.TreeOfSex
503,Trachemys_scripta,adult.sex.ratio,0.424,1070,TSD,TSD Ia,crocoturtle,turtles,Y,481,Bokony,species.in.TreeOfSex
504,Trachemys_scripta,adult.sex.ratio,0.375,40,TSD,TSD Ia,crocoturtle,turtles,Y,481,Bokony,species.in.TreeOfSex
346,Malaclemys_terrapin,juvenile.sex.ratio,0.575,544,TSD,TSD Ia,crocoturtle,turtles,Y,658,Bokony,species.in.TreeOfSex
352,Mauremys_reevesii,juvenile.sex.ratio,0.32,96,TSD,TSD Ia,crocoturtle,turtles,Y,"373, m53",Bokony,species.in.TreeOfSex
390,Podocnemis_expansa,juvenile.sex.ratio,0.289,380,TSD,TSD Ia,crocoturtle,turtles,Y,g66,Bokony,species.in.TreeOfSex
16,Agama_impalearis,adult.sex.ratio,0.614,277,TSD,TSD II,squamata,lizards,Y,1019,Bokony,species.in.TreeOfSex
376,Phelsuma_madagascariensis,adult.sex.ratio,0.457,46,TSD,TSD II,squamata,lizards,Y,1025,Bokony,species.in.TreeOfSex
112,Chelydra_serpentina,adult.sex.ratio,0.464,166,TSD,TSD II,crocoturtle,turtles,Y,500,Bokony,species.in.TreeOfSex
113,Chelydra_serpentina,adult.sex.ratio,0.477,86,TSD,TSD II,crocoturtle,turtles,Y,494,Bokony,species.in.TreeOfSex
114,Chelydra_serpentina,adult.sex.ratio,0.81,126,TSD,TSD II,crocoturtle,turtles,Y,559,Bokony,species.in.TreeOfSex
115,Chelydra_serpentina,adult.sex.ratio,0.636,22,TSD,TSD II,crocoturtle,turtles,Y,206,Bokony,species.in.TreeOfSex
117,Chelydra_serpentina,adult.sex.ratio,0.484,91,TSD,TSD II,crocoturtle,turtles,Y,493,Bokony,species.in.TreeOfSex
119,Chelydra_serpentina,adult.sex.ratio,0.578,230,TSD,TSD II,crocoturtle,turtles,Y,43,Bokony,species.in.TreeOfSex
120,Chelydra_serpentina,adult.sex.ratio,0.854,41,TSD,TSD II,crocoturtle,turtles,Y,476,Bokony,species.in.TreeOfSex
121,Chelydra_serpentina,adult.sex.ratio,0.662,71,TSD,TSD II,crocoturtle,turtles,Y,477,Bokony,species.in.TreeOfSex
122,Chelydra_serpentina,adult.sex.ratio,0.583,571,TSD,TSD II,crocoturtle,turtles,Y,479,Bokony,species.in.TreeOfSex
124,Chelydra_serpentina,adult.sex.ratio,0.691,152,TSD,TSD II,crocoturtle,turtles,Y,547,Bokony,species.in.TreeOfSex
125,Chelydra_serpentina,adult.sex.ratio,0.423,52,TSD,TSD II,crocoturtle,turtles,Y,477,Bokony,species.in.TreeOfSex
2028,Kinosternon_baurii,adult.sex.ratio,0.333,66,TSD,TSD II,crocoturtle,turtles,Y,2028,Bokony,species.in.TreeOfSex
2068a,Kinosternon_scorpioides,adult.sex.ratio,0.438,80,TSD,TSD II,crocoturtle,turtles,Y,2068,Bokony,species.in.TreeOfSex
2071a,Kinosternon_scorpioides,adult.sex.ratio,0.667,9,TSD,TSD II,crocoturtle,turtles,Y,2071,Bokony,species.in.TreeOfSex
334,Macrochelys_temminckii,adult.sex.ratio,0.779,104,TSD,TSD II,crocoturtle,turtles,Y,496,Bokony,species.in.TreeOfSex
335,Macrochelys_temminckii,adult.sex.ratio,0.462,104,TSD,TSD II,crocoturtle,turtles,Y,487,Bokony,species.in.TreeOfSex
337,Macrochelys_temminckii,adult.sex.ratio,0.356,59,TSD,TSD II,crocoturtle,turtles,Y,492,Bokony,species.in.TreeOfSex
339,Macrochelys_temminckii,adult.sex.ratio,0.143,56,TSD,TSD II,crocoturtle,turtles,Y,491,Bokony,species.in.TreeOfSex
341,Macrochelys_temminckii,adult.sex.ratio,0.528,36,TSD,TSD II,crocoturtle,turtles,Y,488,Bokony,species.in.TreeOfSex
342,Macrochelys_temminckii,adult.sex.ratio,0.397,73,TSD,TSD II,crocoturtle,turtles,Y,498,Bokony,species.in.TreeOfSex
434,Sternotherus_minor,adult.sex.ratio,0.681,214,TSD,TSD II,crocoturtle,turtles,Y,728,Bokony,species.in.TreeOfSex
2052b,Sternotherus_minor,adult.sex.ratio,0.5,149,TSD,TSD II,crocoturtle,turtles,Y,2052,Bokony,species.in.TreeOfSex
439,Sternotherus_odoratus,adult.sex.ratio,0.629,383,TSD,TSD II,crocoturtle,turtles,Y,559,Bokony,species.in.TreeOfSex
440,Sternotherus_odoratus,adult.sex.ratio,0.613,31,TSD,TSD II,crocoturtle,turtles,Y,162,Bokony,species.in.TreeOfSex
441,Sternotherus_odoratus,adult.sex.ratio,0.478,556,TSD,TSD II,crocoturtle,turtles,Y,578,Bokony,species.in.TreeOfSex
442,Sternotherus_odoratus,adult.sex.ratio,0.661,56,TSD,TSD II,crocoturtle,turtles,Y,481,Bokony,species.in.TreeOfSex
443,Sternotherus_odoratus,adult.sex.ratio,0.261,92,TSD,TSD II,crocoturtle,turtles,Y,481,Bokony,species.in.TreeOfSex
444,Sternotherus_odoratus,adult.sex.ratio,0.582,292,TSD,TSD II,crocoturtle,turtles,Y,540,Bokony,species.in.TreeOfSex
2050,Sternotherus_odoratus,adult.sex.ratio,0.575,146,TSD,TSD II,crocoturtle,turtles,Y,2050,Bokony,species.in.TreeOfSex
2047e,Sternotherus_odoratus,adult.sex.ratio,0.758,178,TSD,TSD II,crocoturtle,turtles,Y,2047,Bokony,species.in.TreeOfSex
453,Terrapene_carolina,adult.sex.ratio,0.693,397,TSD,TSD II,crocoturtle,turtles,Y,136,Bokony,species.in.TreeOfSex
454,Terrapene_carolina,adult.sex.ratio,0.542,48,TSD,TSD II,crocoturtle,turtles,Y,136,Bokony,species.in.TreeOfSex
455,Terrapene_carolina,adult.sex.ratio,0.674,86,TSD,TSD II,crocoturtle,turtles,Y,136,Bokony,species.in.TreeOfSex
456,Terrapene_carolina,adult.sex.ratio,0.493,138,TSD,TSD II,crocoturtle,turtles,Y,136,Bokony,species.in.TreeOfSex
2005,Terrapene_carolina,adult.sex.ratio,0.365,74,TSD,TSD II,crocoturtle,turtles,Y,2005,Bokony,species.in.TreeOfSex
2006,Terrapene_carolina,adult.sex.ratio,0.538,132,TSD,TSD II,crocoturtle,turtles,Y,2006,Bokony,species.in.TreeOfSex
2008,Terrapene_carolina,adult.sex.ratio,0.55,111,TSD,TSD II,crocoturtle,turtles,Y,2008,Bokony,species.in.TreeOfSex
2001b,Terrapene_carolina,adult.sex.ratio,0.617,247,TSD,TSD II,crocoturtle,turtles,Y,2001,Bokony,species.in.TreeOfSex
2004a,Terrapene_carolina,adult.sex.ratio,0.478,245,TSD,TSD II,crocoturtle,turtles,Y,2004,Bokony,species.in.TreeOfSex
2010a,Terrapene_carolina,adult.sex.ratio,0.545,90,TSD,TSD II,crocoturtle,turtles,Y,2010,Bokony,species.in.TreeOfSex
2010b,Terrapene_carolina,adult.sex.ratio,0.543,35,TSD,TSD II,crocoturtle,turtles,Y,2010,Bokony,species.in.TreeOfSex
