species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Elseya_lavarackorum,35.2,24.2,Freeman et al. 2014 CBFTT; Joseph-Ouni et al. 2020,
Elusor_macrurus,33.7,40.8,Cann and Legler 1994; Limpus 2008; Cann and Sadlier 2017,
Emydura_gunaleni,18.5,14.7,Smales et al. 2019,
Emydura_macquarii,30.67666667,26.25,Turtle Taxonomy Working Group 2021,
Emydura_subglobosa,25.575,18.675,Turtle Taxonomy Working Group 2021,
Myuchelys_purvisi,22.9,17.5,Cann and Sadlier 2017,
Rheodytes_leukops,26.2,26.2,Cann and Legler 1994,
Pseudemydura_umbrina,14.2,15.05,Burbidge 1967; Cann and Legler 1994; Durrell and Keeley 2019,
Pelomedusa_barbata,20.1,21.6,Gasperetti et al. 1993; Petzold et al. 2014,
Pelomedusa_galeata,29,32.5,Boycott and Bourquin 2008 CBFTT; Petzold et al. 2014,
Pelusios_adansonii,23.8,20,Bour 2008 CBFTT,
Pelusios_bechuanicus,33,30,Ceballos et al. 2013,
Pelusios_broadleyi,14.9,17.9,Prokop 2010,
Pelusios_castaneus,28.5,22.2,Segniagbeto et al. 2015; Bour et al. 2016 CBFTT,
Pelusios_castanoides,23,19,Turtle Taxonomy Working Group 2021,
Pelusios_cupulatta,27.1,31.3,"Luiselli and Petrozzi, unpubl. data",
Pelusios_gabonensis,27.2,32,Maran 2006c; maximum estimated: 33.0 cm (Branch 2008; Itescu et al. 2014),
Pelusios_marani,22.9,27.2,Bour 2000; Maran 2006a,
Pelusios_nanus,12.2,11.1,"Laurent 1956; Bour, unpubl. Data",
Pelusios_niger,27.25,35.25,Maran 2006a; Luiselli et al. 2018 CBFTT,
Pelusios_sinuatus,47.5,35,Turtle Taxonomy Working Group 2021,
Pelusios_subniger,21,15,Turtle Taxonomy Working Group 2021,
Pelusios_williamsi,23.8,19.7,Turtle Taxonomy Working Group 2021,
Erymnochelys_madagascariensis,43,45.8,Pedrono and Smith 2013,
Peltocephalus_dumerilianus,47,50,Iverson and Vogt 2002; Ceballos et al. 2013,
Podocnemis_erythrocephala,28.35,20.35,Mittermeier et al. 2015 CBFTT,
Podocnemis_expansa,90.26666667,53.33333333,Ceballos et al. 2013; Ferrara et al. 2017,
Podocnemis_sextuberculata,32.16666667,24.5,Fachín-Terán et al. 2003; Ferrara et al. 2017; Iverson et al. 2017,
Podocnemis_unifilis,47.62666667,35.34,Barrio Amorós 2001; Ceballos et al. 2013,
Podocnemis_vogli,34.33333333,25.63333333,Ceballos et al. 2013,
Caretta_caretta,106.7666667,109.5333333,Brongersma 1972; Caldwell et al. 1959; Pritchard and Trebbau 1984; Dodd 1988,
Eretmochelys_imbricata,90.5,85.045,Witzell 1983,
Lepidochelys_kempii,73.28333333,67.2,Ernst and Lovich 2009,
Lepidochelys_olivacea,77.37666667,71,Ceballos et al. 2013,
Chelonia_mydas,132.5,111,"Carr and Hirth 1962; Hirth 1980, 1997; Sanches and Bellini 2002",
