species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Python_molurus,342,286,Anderson_Secor_2015,
Rhabdophis_auriculatus,29.8,31,Das_et_al_2021,
Rhabdophis_chrysargos,83.7,55,Das_et_al_2021,
Rhabdophis_himalayanus,94,66,Das_et_al_2021,
Rhabdophis_plumbicolor,64.8,53.4,Das_et_al_2021,
Rhabdophis_rhodomelas,53.2,46.9,Das_et_al_2021,
Rhabdophis_subminiatus,78.5,72,Das_et_al_2021,
Rhinophis_philippinus,25.26,16.55,Huntley_et_al_2021,
Scaphiodontophis_annulatus,50.5,39,Smith_1994,
Scincella_vandenburghi,5.37,4.88,Chen_et_al_2010,
Sibynophis_collaris,52.5,40.6,Smith_1973,
Sonora_aemula,33.6,30.5,Zweifel_Norris_1955,
Sonora_palarostris,30.9,28.3,Rosen_et_al_1996,
Stegonotus_guentheri,68.3,99.6,Kaiser_et_al_2019,
Stegonotus_heterurus,57.5,63.3,Kaiser_et_al_2019,
Stegonotus_modestus,54.2,91.5,Kaiser_et_al_2019,
Stenorrhina_degenhardtii,65,69.6,Smith_1994,
Storeria_victa,22.8,19.2,King_1989,
Takydromus_hsuehshanensis,7.2,7.2,Huang_1998,
Tantilla_relicta,19.4,19,Telford_1980,
Tantilla_wilcoxi,29.8,26.1,Ansel_et_al_2004,
Thamnodynastes_chaquensis,61.9,59,Bellini_et_al_2014,
Thamnodynastes_lanei,43.1,43.8,Zaher_2021,
Thamnodynastes_strigatus,79.5,79.6,Zaher_2021,
Thamnophis_scaliger,43.9,38,Feriche_et_al_2011,
Trimeresurus_popeiorum,70.9,75.8,Vogel_et_al_2004,
Trimeresurus_puniceus,57.7,67.8,David_et_al_2006b,
Trimeresurus_purpureomaculatus,76,54,Reptile_Database,
Trimorphodon_tau,87,65,Hansen_2005,
Tropidodryas_serra,113.1,96,Stender_Oliveira_et_al_2016,
Tropidodryas_striaticeps,97.4,78.6,Stender_Oliveira_et_al_2016,
Tropidonophis_multiscutellatus,71,58.3,Malnate_Underwood_1988,
Tropidophis_haetianus,55.2,53.4,Hedges_2002,
Tropidophorus_murphyi,9.63,8.51,Hikida_et_al_2002,
Varanus_prasinus,28.6,29.5,de_Buffrenil_et_al_2005,
Xenodermus_javanicus,40,42,Smith_1943,
Xenodon_neuwiedii,77.5,73,Pizzatto_et_al_2008,
Xylophis_captaini,58,48,Smith_1943,
Zamenis_situla,75,99.5,Polyakova_et_al_2019,
