Table 1
Citation,source,,,,,
493,"Flaherty et al. 2008. Journal of Herpetology 42, 202-205.",,,,,
494,"Aresco & Gunzburger 2007. Southeastern Naturalist 6, 435–448",,,,,
495,"East et al. 2013. Wildlife Research 40, 77-81",,,,,
496,"Thomas 2013. Population status, distribution, and home range of the alligator snapping turtle (Macrochelys temminckii) in the Suwannee River, Florida. MSc thesis, University of Florida",,,,,
497,"Folt et al. 2016. Herpetological Monographs 30, 21-33",,,,,
498,"Lescher et al. 2013. Chelonian Conservation and Biology, 12, 163-168.",,,,,
499,"Miller et al. 2014. Journal of Thermal Biology 39, 6–11",,,,,
500,"Rose & Small 2014. Southwestern Naturalist 59, 331-336.",,,,,
502,Barahona & López 2015. Revista Científica 25 75-86,,,,,
503,"Vogt & Flores-Villela 1992. Herpetologica 48, 265-270",,,,,
505,"Sterrett et al. 2010. Herpetological Conservation and Biology 5, 490–497.",,,,,
507,"Dutton et al. 1985. Biological Conservation 31, 249-264",,,,,
508,"Binckley et al. 1998. Copeia 1998/2,  291-300.",,,,,
510,"James et al. 2007. Mar Ecol Prog Ser 337, 245–254",,,,,
513,"Garcia et al. Biological Conservation 111, 253–261",,,,,
518,"Spinks et al. 2003. Biological Conservation 113, 257–267",,,,,
519,Holland DC 1994. The western pond turtle: habitat and history. Final report for U. S. Department of Energy.,,,,,
520,"Lovich & Meyer 2002. J. Zool., Lond. 256, 537-545",,,,,
524,"Bury 1972. Habits and home range of the Pacific pond turtle, Clemmys marmorata, in a stream community. MSc thesis",,,,,
525,Wright et al. 2008. Western pond turtle (Actinemys marmorata) telemetry study. Report (https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=90529),,,,,
526,"Lubcke & Wilson 2007. Journal of Herpetology 41, 107-114",,,,,
527,"Germano 2010. Southwestern Naturalist 55, 89-97",,,,,
528,"Sloan 2012. Population structure, life history, and terrestrial movements of Western pond turtles (Actinemys marmorata) in lentic habitats along the Trinity River, California. MSc thesis, Humboldt State University",,,,,
529,"Zaragoza et al. 2015. Journal of Herpetology 49, 437–441",,,,,
531,"Germano & Riedle 2015. Herpetologica 71, 102–109",,,,,
532,Davis 1998. Western pond turtle (Clemmys marmorata pallida). MSc thesis,,,,,
537,"Nyhof 2013. Basking western pond turtle response to trail use in Mountain View, California. MSc thesis, San Jose State University",,,,,
539,"Gordon & MacCulloch 1980. Canadian Journal of Zoology 58, 2210-2219",,,,,
540,"Conner et al. 2005. Am. Midl. Nat. 153, 428-435",,,,,
542,Bulté et al. 2010. Aquatic Conserv  Mar. Freshw. Ecosyst. 20  31–38,,,,,
543,Bulté & Blouin-Demers 2009. Écoscience 16 (2): 175-182,,,,,
545,"Bennett et al. 2009. Canadian Journal of Zoology 87, 1147-1157",,,,,
547,"DonnerWright et al. 1999. Can. J. Zool. 77,  989–1000",,,,,
548,"Browne & Hecnar 2007. Biological Conservation 138,  421–429.",,,,,
549,"Tran et al. 2007. American Midland Naturalist, 158, 16-28",,,,,
550,Pitt & Nickerson 2013. Amphibia-Reptilia 34: 193-200,,,,,
551,Nickerson & Pitt 2012. Bull. Fl. Mus. Nat. Hist. 51: 257-267.,,,,,
552,Pitt & Nickerson 2012. Copeia 2012: 367-374.,,,,,
554,"Richards-Dimitrie 2011. Spatial ecology and diet of Maryland endangered Northern Map Turtles (Graptemys geographica) in an altered river system: Implications for conservation and management. MSc thesis, Towson University",,,,,
556,Pappas et al. 2001. Weaver Bottoms 2001 turtle survey; management and conservation concerns. Report (http://files.dnr.state.mn.us/eco/nongame/projects/consgrant_reports/2001/2001_pappas_etal.pdf),,,,,
557,Beehler 2007.  An investigation of the abundance and key habitat parameters of the northern map turtle (Graptemys geographica) in an Eastern Ontario Bay. MSc thesis.,,,,,
559,"Manis 2008. The community ecology of a riverine turtle assemblage in the Tennessee River Gorge. MSc thesis, University of Tennessee, Chattanooga.",,,,,
564,"Lindeman 2005. Am. Midl. Nat. 153, 378–388",,,,,
570,"Refsnider & Janzen 2015. Journal of Heredity 107(1), 61-70.",,,,,
571,"Schwarzkopf & Brooks 1985. Can. J. Zool. 63, 2543-2547",,,,,
572,"Morjan 2003. Behav Ecol Sociobiol 53, 254–261",,,,,
574,"Schwarzkopf & Brooks 1985. Herpetologica 41, 206-212",,,,,
576,"Ream & Ream 1966. American Midland Naturalist 75, 325-338",,,,,
578,"Mitchell 1988. Herpetological Monographs 2, 40-61",,,,,
579,"Bayless 1975. American Midland Naturalist 93, 168-176",,,,,
584,"MacCulloch & Secoy 1983. Can. J. Zool. 61, 1499- 1509.",,,,,
585,"Ross 1989. Wis. Acad. Sci. Arts Lett. 77, 77-84.",,,,,
586,"Zweifel 1989. Amer. Museum Novitates 2952, 1-55.",,,,,
588,"Bider & Hoek 1971. Herpetologica 27, 481-484",,,,,
589,"Lindeman 1996. Copeia 1996, 114-130",,,,,
593,"Litzgus & Mousseau 2004. Southeastern Naturalist 3, 391–400",,,,,
595,"Ernst 1976. Journal of Herpetology 10, 25-33",,,,,
596,"Yagi & Litzgus 2012. Copeia 2012/2, 179-190.",,,,,
598,"Kaye et al. 2005. Proceedings of the 2005 International Conference on Ecology and Transportation, pp. 426-432.",,,,,
599,"Kaye et al. 2001. Proceedings of the 2001 International Conference on Ecology and Transportation, pp. 66-82.",,,,,
601,"Buhlmann et al. 2009. Herpetologica 65, 39–53",,,,,
602,"Dinkelacker & Hilzinger 2014. Journal of Herpetology 48, 439-444.",,,,,
603,"Gibbons  1990.  Sex ratios and their significance among turtle populations. Pp. 171-182 in: Life History and Ecology of the Slider Turtle, J. Whitfield Gibbons (ed.), Smithsonian Institution Press.",,,,,
608,Congdon et al. 2011. Can. J. Zool. 89  1098–1106,,,,,
613,"Hasler et al. 2015. Canadian Journal of Zoology 93, 509-514",,,,,
615,"Kuhns 2010. Recovery of the Blanding’s turtle (Emydoidea blandingii) at Spring Bluff Nature Preserve, Lake County Forest Preserves. Report",,,,,
616,"Lefebvre et al. 2012. Canadian Field-Naturalist 126, 89–94.",,,,,
622,"Servan et al. 1989. Can. J. Zool. 67, 1279 - 1284.",,,,,
623,"Cheylan & Poitevin 1998. Mertensiella 10,  67-82.",,,,,
625,"Lebboroni & Chelazzi 1991. Ethology Ecology & Evolution 3, 257-268",,,,,
626,"Balázs & Györffy 2006. Tiscia 35, 55-64",,,,,
628,"Ayaz et al. 2008. Journal of Herpetology 42, 518–522",,,,,
631,"Alarcos et al. 2008. Rev. Esp. Herp. 22, 33-43",,,,,
632,Ramos et al. 2009. Rev. Esp. Herp. 23 117-128,,,,,
633,"Duguy & Baron 1998. Annales de la Société des sciences naturelles de la Charente-Maritime 8, 781-803.",,,,,
637,"Sancho & Ramia 2008. Rev. Esp. Herp. 22, 103-109",,,,,
641,"Owen-Jones et al. 2016. Freshwater Biology 61, 121–132",,,,,
650,"Lovász et al. 2012. Állattani Közlemények 97, 201–212.",,,,,
658,"Sheridan et al. 2010. Molecular Ecology 19, 5497–5510",,,,,
659,"Tucker et al. 2001.Can. J. Zool. 79, 2199–2209",,,,,
665,"Hart & McIvor 2008. Copeia 2008, 200-208",,,,,
672,"Buhlmann & Vaughan 1991. Journal of Herpetology 25, 72-78",,,,,
673,"Kornilev et al. 2010. Chelonian Conservation and Biology 9, 196–204",,,,,
674,"Dreslik 2007. Structure and size of a river cooter (Pseudemys concinna) population in Gallatin County, Illinois over twelve years of study. Report",,,,,
682,"Aresco 2005. Biological Conservation 123, 37–44",,,,,
685,"Moldowan 2014. Sexual dimorphism and alternative reproductive tactics in the Midland Painted Turtle (Chrysemys picta marginata). MSc thesis, Laurentian University, Sudbury, Ontario, Canada.",,,,,
687,"Congdon  et al. 2003. Experimental Gerontology 38, 765–772",,,,,
690,"Hailey 1990. Can. J. Zool. 68, 547-555.",,,,,
692,"Hailey et al. 1988. Herpetological Journal 1, 294-301.",,,,,
703,"Filippi et al. 2010. Chelonian Conservation and Biology 9, 54–60",,,,,
708,"Meek 1985. Br. J. Herpetol. 6, 437-445",,,,,
712,"Vujovic et al. 2015. Acta Zool. Bulg. 67, 75-84",,,,,
726,"Bonnet et al. 2016. Behavioral Ecology, doi: 10.1093 beheco arw023",,,,,
727,"Andreu et al. 2001. Monografias de Herpetologia, vol. 5.",,,,,
728,"Riedle et al. 2016. Herpetological Conservation and Biology 11/2, 362–372.",,,,,
729,Bell et al. 2012. Aquatic Conserv  Mar. Freshw. Ecosyst. DOI: 10.1002/aqc.2245,,,,,
730,"Dodd et al. 2012. Chelonian Conservation and Biology, 11, 44-49.",,,,,
732,Griffin & Pletscher 2006. Potential effects of highway mortality and habitat fragmentation on a population of painted turtles in Montana. Final report for the Montana Department of Transportation,,,,,
733,"O'Bryan et al. 2016. Ecosphere 7/3, e01228.",,,,,
734,"Frazer et al. 1991. Ecology 72, 2218-2231",,,,,
737,"Bowen et al. 2004. Journal of Herpetology 38, 562–568",,,,,
1000,"Saumure et al. 2007. Biological Conservation 135(4), 565-575.",,,,,
1001,"Saumure & Bider 1998. Chelonian Conservation and Biology 3, 37–45.",,,,,
1002,"Walde et al. 2003. Canadian Field-Naturalist 117, 377-388.",,,,,
1006,"Bull et al. 1985. Copeia 1985, 784-786",,,,,
1007,"Daigle & Jutras 2005. Journal of Herpetology, 39(1), 130-132.",,,,,
1008,"Curtis & Vila 2015. Northeastern Naturalist, 22, 387-402",,,,,
1010,"Greaves & Litzgus 2009. Journal of Zoology, 279, 298-309.",,,,,
1011,Breisch 2006. The natural history and thermal ecology of a population of spotted turtles (Clemmys guttata) and wood turtles (Glyptemys insculpta) in West Virginia. MSc thesis,,,,,
1012,"Berg 2014. Population structure, size, and the thermal ecology of Iowa wood turtles (Glyptemys insculpta): A comparison between suburban and rural populations. MSc thesis.",,,,,
1015,"Ji et al. 2003. J. Zool. 261, 409–416",,,,,
1016,"Mu et al. 2015. Sexual Development 9, 111-117",,,,,
1018,"Hussein & Darwish 2000. Pakistan Journal of Biological Sciences 3, 1700-1704.",,,,,
1019,"Znari et al. 1998. Rev. Ecol. 53, 293-308",,,,,
1020,"Harlow & Taylor 2000. Austral Ecology 25, 640–652",,,,,
1021,"Griffiths 1999. Copeia 1999, 1089-1096",,,,,
1022,"Morrison et al. 2002. Molecular Ecology 11, 535-545",,,,,
1023,"Schwarzkopf & Shine 1991. Oecologia 88, 562-569",,,,,
1024,"Robert et al. 2003. Australian Journal of Zoology 51, 367-370",,,,,
1025,"Ikeuchi et al. 2005. Amphibia-Reptilia 26, 475-483",,,,,
1026,"Ibrahim 2004. Zoology in the Middle East 31, 23–38.",,,,,
1027,"Rocha et al. 2013. Amphibia-Reptilia 34, 590-596",,,,,
1028,"Atzori et al. 2007. Amphibia-Reptilia 28, 449-454",,,,,
1029,"Gil et al. 1994. Israel Journal of Zoology 40, 61-74",,,,,
1030,"Mahaprom et al. 2015. Thai J. For. 34, 109-123",,,,,
1035,Bustard 1968 & 1970. J . Zool. 156 483-497 & 162 31-42.,,,,,
1036,"Henle 1990. Copeia 1990, 759-781",,,,,
1037,"Kearney et al. 2001. Herpetologica 57, 411-422",,,,,
1039,"Busack & Jaksic 1982. Amphibia-Reptilia, 3, 237-255",,,,,
1041,"Fisher & Rehák 2010. Gazella  Praha  37, 51–167.",,,,,
1042,"Rúa & Galán 2003. Animal Biology 53, 347-366",,,,,
1044,"Arribas 2004. HERPETOZOA 17, 3-18",,,,,
1045,"Arribas & Galán 2005. Animal Biology 55, 163-190",,,,,
1048,"Selcer 1986. Copeia 1986, 956-962",,,,,
1050,"Stabler et al. 2012. Urban Ecosystems, 15, 653-666.",,,,,
1051,"Paulissen et al. 2013. SOUTHWESTERN NATURALIST 58, 344–350",,,,,
1053,"Hitchen et al. 2011. Pacific Conservation Biology 16, 237–243",,,,,
2001,"Dolbeer 1969. A study of population density, seasonal movements and weight changes, and winter behavior of the eastern box turtle, Terrapene c. carolina L., in Eastern Tennessee. MSc thesis",,,,,
2004,"Stickel 1950. Ecological Monographs 20(4), 351-378.",,,,,
