population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
2136k,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.667,,,,,,,96,2136
2137,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.563,,,,,,,158,2137
2138,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.580,,,,,,,119,2138
2140,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.493,,,,,,,201,2140
2141b,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.441,,,,,,,68,2141
2141a,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.453,,,,,,,75,2141
2146a,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.452,,,0.054,0.020,,,42,2146
2146b,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.605,,,0.132,0.045,,,177,2146
2146c,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.545,,,,,,,123,2146
2147a,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.348,,,,,,,23,2147
2149a,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.467,,,,,,,60,2149
2152,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,0.608,,,,,,,29,2152
Landers,turtles,Gopherus_polyphemus,TSD,species.in.TreeOfSex,,,,17.0,20.0,,,,,,m49
272,turtles,Graptemys_barbouri,TSD,species.in.TreeOfSex,,,0.233,,,,,,,90,505
273,turtles,Graptemys_barbouri,TSD,species.in.TreeOfSex,,,,3.5,20.0,,,,,,m32
275,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,0.210,,,,,,,61,,,214
286,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.629,,,,,,,210,539
278,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.521,,,,,,,305,540
283,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.436,,,,,,,321,542
281,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.503,,,,,,,151,545
285,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.462,,,,,,,52,547
280,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.278,,,,,,,,548
279,turtles,Graptemys_geographica,TSD,species.in.TreeOfSex,,,0.091,,,,,,,55,549
